Sl.No,Company Name,Website,Twitter_url,Facebook_url,Linkedin_url,Crunchbase_url,City,Country,CEO,CTO,EMAIL
344,Crowdz,crowdz.io,twitter.com/MyCrowdz,facebook.com/MyCrowdz,linkedin.com/company/crowdz,crunchbase.com/organization/crowdz,Campbell,United States,Payson Johnston,Amitesh Mukherjee,info@crowdz.io
345,QuanTemplate,quantemplate.com,twitter.com/QuanTemplate,facebook.com/QuanTemplate-521123151303676/,linkedin.com/company/3169357,crunchbase.com/organization/quantemplate,New York,United States,Jeff Ward,Ilia Cheremnykh,info@quantemplate.com
346,Insent.ai,insent.ai,twitter.com/Insent_ai,facebook.com/insenthq,linkedin.com/company/insent-ai,crunchbase.com/organization/insent,Littleton,United States,Deepak Anchala,Information not available,info@insent.ai
347,RealBlocks,realblocks.com,twitter.com/realblocks,facebook.com/RealBlocks-164531427480664/,linkedin.com/company/realblocks,crunchbase.com/organization/realblocks,San Francisco,United States,Perrin Quarshie,Mike Wagner,info@realblocks.com
348,Family First,family-first.com,twitter.com/Family1stCaer,facebook.com/FamilyFirstTampa/,linkedin.com/company/https:,crunchbase.com/organization/villageplan,Boston,United States,Dave Merrell,Information not available,info@familyfirst.io
349,Goodr,goodr.co,twitter.com/TheGoodrCo,facebook.com/GoodrCo,linkedin.com/company/goodrco,crunchbase.com/organization/goodr,Atlanta,United States,Jasmine Crowe,Information not available,info@goodr.co
350,Urban Sky,urbansky.space,NaN,facebook.com/theurbansky/,linkedin.com/company/urban-sky-imaging,crunchbase.com/organization/urban-sky,Denver,United States,Nimrod May,Michael O'Connor,info@urbansky.com
351,Civic Eagle,civiceagle.com,twitter.com/Civic_Eagle,facebook.com/civiceagle/,linkedin.com/company/civic-eagle,crunchbase.com/organization/civic-eagle#section-overview,Mounds View,United States,Damola Ogundipe,Information not available,info@civiceagle.com
352,SmartMind,smartmind.team,twitter.com/SmartMi71261326,facebook.com/smartmind.team/,linkedin.com/company/smartmind-inc,crunchbase.com/organization/smartmind,Seoul,South Korea,Jodi Patkin,Information not available,info@smartmind.io
353,UBIO Automation Cloud,ub.io,twitter.com/ubio,facebook.com/Ubio-170230710232639/,linkedin.com/company/3498744,crunchbase.com/organization/ub,London,United Kingdom,Andy Pandre,Information not available,info@ubio.io
354,Edvisor.io,edvisor.io,twitter.com/Edvisorio,facebook.com/749555088410228,linkedin.com/company/edvisor-io,crunchbase.com/organization/edvisor-io,Vancouver,Canada,Paul Knapper,Information not available,info@edvisor.io
355,2NDNATURE,2ndnaturewater.com,twitter.com/2ndnaturewater,facebook.com/2ndnaturewater/,linkedin.com/company/2ndnaturewater,crunchbase.com/organization/2ndnature,Santa Cruz,United States,Jason Wessels,Information not available,info@2ndnaturewater.com
356,Driver,trydriver.com,twitter.com/driverinc,facebook.com/TryDriver/,linkedin.com/company/driverinc,crunchbase.com/organization/driver-technologies,Brooklyn,United States,Amos Schwartzfarb,Information not available,info@driver.xyz
357,UpsideHoM,upsidehom.com,twitter.com/UpsideTravel,facebook.com/upsidehom/,linkedin.com/company/joinupside,crunchbase.com/organization/upsidehom,Fort Lauderdale,United States,Alex Lyle,Information not available,info@upsidehom.com
358,LunarCrush,lunarcrush.com,twitter.com/lunarcrush,facebook.com/LunarCrush,linkedin.com/company/lunarcrush,crunchbase.com/organization/lunarcrush,Costa Mesa,United States,Joe Vezzani,Michael Johnson,info@lunarcrush.com
359,Realworld,realworldplaybook.com,twitter.com/realworldplaybk,facebook.com/realworldcompany/,linkedin.com/company/realworldco,crunchbase.com/organization/real-world-playbook#section-overview,New York,United States,Genevieve Ryan Bellaire,Information not available,info@realworld.io
360,StarStreet,starstreet.com,twitter.com/StarStreet,facebook.com/StarStreetSports/,linkedin.com/company/1746447,crunchbase.com/organization/starstreet,Cambridge,United States,Julian Hamins-Puertolas,Information not available,info@starstreet.com
361,Silversheet,silversheet.com,twitter.com/silversheet,facebook.com/silversheetHQ,linkedin.com/company/silversheet,crunchbase.com/organization/silversheet,Culver City,United States,Miles Beckett,Information not available,info@silversheet.com
362,chowbotics,chowbotics.com,twitter.com/chowbotics,facebook.com/chowbotics/,linkedin.com/company/chowbotics,crunchbase.com/organization/casabots,Redwood City,United States,Deepak Sekar,Rick Wilen,info@chowbotics.com
363,Packworks,thepackworks.com,twitter.com/PackworksPH,facebook.com/thepackworks,linkedin.com/company/thepackworks,crunchbase.com/organization/packworks,Makati,Philippines,Brian Beck,Nan,info@packworks.com
364,Weav Music,weav.io,twitter.com/weavmusic,facebook.com/OfficialWeav/,linkedin.com/company/weav-music-incs,crunchbase.com/organization/weav,Brooklyn,United States,Elomida Visviki,Nan,info@weav.io
365,RatedPower,ratedpower.com,twitter.com/rated_power,facebook.com/pages/category/Product-Service/RatedPower-2112503709030261/,linkedin.com/company/11060588,crunchbase.com/organization/ratedpower,Madrid,Spain,Andrea Barber,Nan,info@ratedpower.com
366,Ripl,ripl.com,twitter.com/ripl_app,facebook.com/fanzo-me,linkedin.com/company/ripl-inc,crunchbase.com/organization/ripl#section-overview,Kirkland,United States,Clay McDaniel,Nan,info@ripl.com
367,Level,levelgoals.com,twitter.com/Level_Finance,facebook.com/LevelGoals/,linkedin.com/company/leveltechnology,crunchbase.com/organization/level-brand-fbf9,Bellevue,United States,Chris Kelsey,Nan,info@level.tech
368,NIRA,nirafinance.com,twitter.com/nirafinance,facebook.com/nirafinance,linkedin.com/company/nirafinance,crunchbase.com/organization/nira,Bangalore,India,Rohit Sen,Nan,info@nirafinance.com
369,Enertiv,enertiv.com,twitter.com/enertiv,facebook.com/enertiv,linkedin.com/company/enertiv,crunchbase.com/organization/enertiv,New York,United States,Connell McGill,Jimit Mehta,info@enertiv.com
370,Tennibot,tennibot.com,twitter.com/tennibot,facebook.com/tennibot/,linkedin.com/company/tennibot,crunchbase.com/organization/tennibot,Auburn,United States,Haitham Eletrabi,Information not available,info@tennibot.com
371,Mani.Me,manime.co,twitter.com/ManiMe_Co,facebook.com/manime.co,linkedin.com/company/mani-me,crunchbase.com/organization/mani-me,Palo Alto,United States,Jooyeon Song,Information not available,info@mani.me
372,Shippable,shippable.com,twitter.com/BeShippable,facebook.com/beShippable,linkedin.com/company/shippable,crunchbase.com/organization/shippable,Bellevue,United States,Avi Cavale,Viktor Prskalo,info@shippable.com
373,Interface Fluidics,interfacefluidics.com,twitter.com/interfacefluids,NaN,linkedin.com/company/interface-fluidics,crunchbase.com/organization/interface-fluidics,Calgary,Canada,Stuart Kinnear,Michael Elverum,info@interfacefluidics.com
374,VeriTX,vertix.co,twitter.com/veri_tx,NaN,linkedin.com/company/veritx,crunchbase.com/organization/veritx,Buffalo,United States,Anna Villinger,Nan,info@veritx.com
375,CareAcademy,careacademy.com,twitter.com/careacademyco,facebook.com/CareAcademy/,linkedin.com/company/careacademy,crunchbase.com/organization/care-academy#/,Cambridge,United States,Helen Adeosun,Nan,info@careacademy.com
376,Lunasonde,lunasonde.com,twitter.com/lunasonde,NaN,linkedin.com/company/lunasonde,crunchbase.com/organization/lunasonde,Cortaro,United States,Matthew Konwiser,Nan,info@lunasonde.com
377,Qovery,qovery.com,twitter.com/Qovery_,facebook.com/Qovery,linkedin.com/company/qovery,crunchbase.com/organization/qovery,Paris,France,Romaric Philogène,Nan,info@qovery.com
378,Eversport,eversport.at,twitter.com/EversportAT,facebook.com/eversports,linkedin.com/company/eversport,crunchbase.com/organization/eversports,Vienna,Austria,Alexandre Debray,Nan,info@eversport.tv
379,Bold Metrics,boldmetrics.com,twitter.com/boldmetrics,facebook.com/boldmetrics/,linkedin.com/company/boldmetrics,crunchbase.com/organization/fashion-metric,San Francisco,United States,Daina Burnes Linton,Nan,info@boldmetrics.com
380,Zagster,zagster.com,twitter.com/zagster,facebook.com/BikeZagster,linkedin.com/company/zagster,crunchbase.com/organization/zagster,Cambridge,United States,Dan Grossman,Nan,info@zagster.com
381,Next Big Sound,nextbigsound.com,twitter.com/nextbigsound,facebook.com/nextbigsound,linkedin.com/company/464245,crunchbase.com/organization/next-big-sound,New York,United States,Alex White,Nan,info@nextbigsound.com
382,Bitfinder,bitfinder.co,twitter.com/getawair,facebook.com/getawair,linkedin.com/company/bitfinder,crunchbase.com/organization/awair,San Francisco,United States,Ivo Stivoric,Nan,info@bitfinder.com
383,Unmade,unmade.com,twitter.com/unmadeworks,facebook.com/UMdStudioLondon/,linkedin.com/company/unmade-ltd,crunchbase.com/organization/knyttan#section-overview,London,United Kingdom,Hal Watts,Nan,NaN
384,Rainbird Technologies,rainbird.ai,twitter.com/rainbirdai,facebook.com/RainBirdAI,linkedin.com/company/3301089,crunchbase.com/organization/rainbird-technologies-ltd,Norwich,United Kingdom,Ben Taylor,Nan,info@rainbird.ai
385,Atlas5D,atlas5d.com,twitter.com/Atlas5D,facebook.com/Atlas5D/,linkedin.com/company/atlas5d,crunchbase.com/organization/atlas5d,Cambridge,United States,Jean-Nicolas Hould,Nan,info@atlas5D.com
386,Preveta,preveta.com,twitter.com/hellopreveta,facebook.com/HelloPreveta,linkedin.com/company/preveta,crunchbase.com/organization/preveta,Redondo Beach,United States,Anant Tailor,Nan,info@preveta.com
387,Niricson Software,hrginfrastructure.com,NaN,facebook.com/HRGInfrastructure/,linkedin.com/company/hrg-infrastructure,crunchbase.com/organization/niricson#section-overview,Victoria,Canada,Andre Carvalho,Nan,info@niricson.com
388,Novicap,novicap.com,twitter.com/novicap,facebook.com/novicapfinance,linkedin.com/company/novicap,crunchbase.com/organization/novicap,London,United Kingdom,Federico Antoni,Nan,info@novicap.com
389,Studio,studio.com,twitter.com/wearestudio,facebook.com/Studio/,linkedin.com/company/studio-official,crunchbase.com/organization/studio-4de4,New York,United States,N/A (Couldn't find specific information),Nan,info@studio.io
390,Polly,polly.ai,twitter.com/polly_ai,NaN,linkedin.com/company/polly.ai,crunchbase.com/organization/subcurrent,Issaquah,United States,Samir Diwan,Nan,info@polly.ai
391,SoLo Funds,solofunds.com,twitter.com/solofunds,facebook.com/SoLoFundsInc/,linkedin.com/company/solo-funds,crunchbase.com/organization/solo-funds-inc,Cincinnati,United States,Travis Holoway,Nan,info@solofunds.com
392,Ecolectro,ecolectro.com,twitter.com/ecolectroinc,facebook.com/ecolectroinc,linkedin.com/company/ecolectro-inc-,crunchbase.com/organization/ecolectro,Ithaca,United States,Gabriel Rodríguez-Calero,Nan,info@ecolectro.com
393,Buncha,runerra.com,twitter.com/runerraapp,facebook.com/trypikup/,linkedin.com/company/trypikup,crunchbase.com/organization/runerra,Hopkins,United States,Karl Alomar,Nan,info@buncha.com
394,VALID8 Financial,valid8.cash,twitter.com/valid8_cash,NaN,linkedin.com/company/valid8-financial,crunchbase.com/organization/valid8-financial,Boulder,United States,Michael Versace,Nan,info@valid8financial.com
395,StormSensor,stormsensor.io,twitter.com/stormsensor,facebook.com/stormsensor.inc,linkedin.com/company/stormsensor,crunchbase.com/organization/stormsensor-inc,Seattle,United States,Erin Rothman,Nan,info@stormsensor.io
396,Future,future.green,twitter.com/thefuturescore,facebook.com/MyFuturescore,linkedin.com/company/futurescore,crunchbase.com/organization/future,Silver Spring,United States,Giorgos Zacharia,Nan,info@future.com
397,Venteur,venteur.co,twitter.com/VenteurCo,facebook.com/Venteur.co/,linkedin.com/company/venteur-inc,crunchbase.com/organization/venteur,Berkeley,United States,Andrew Bluhm,Nan,info@venteur.co
398,PopCom,popcom.shop,twitter.com/PopComSaaS,facebook.com/PopComSaaS/,linkedin.com/company/popcomsi,crunchbase.com/organization/solutions-vending-international-inc,Columbus,United States,Dawn Dickson,Nan,info@popcom.shop
399,Perch,perch.fit,twitter.com/perchFit,facebook.com/perchinteractive,linkedin.com/company/winncompanies,crunchbase.com/organization/perch-goods,Cambridge,United States,Court Cunningham,Nan,info@perchhq.com
400,Wunderite,wunderite.com,twitter.com/wunderite,facebook.com/wunderite,linkedin.com/company/wunderite,crunchbase.com/organization/wunderite,Bourne,United States,Sidharth Jain,Nan,info@wunderite.com
401,Vermeer,getvermeer.com,twitter.com/vermeerapp,facebook.com/vermeerapp/,linkedin.com/company/47843,crunchbase.com/organization/vermeer-ff96,Queens,United States,N/A (Couldn't find specific information),Nan,info@vermeer.tech
402,Kayhan Space,kayhan.space,twitter.com/KayhanSpace,NaN,linkedin.com/company/kayhan-space,crunchbase.com/organization/kayhan-space,Lafayette,United States,Christian Harden,Nan,info@kayhanspace.com
403,ChangEd,gochanged.com,twitter.com/changedapps,facebook.com/changedapp,linkedin.com/company/changed-app,crunchbase.com/organization/changed,Chicago,United States,Dan Stelmach,Nan,info@changedapp.com
404,Tutum,tutum.co,twitter.com/tutumcloud,facebook.com/tutumcloud,linkedin.com/company/tutum,crunchbase.com/organization/tutumcloud,New York,United States,Nick Stuhl,Nan,info@tutumhealth.com
405,Taylor & Hart,taylorandhart.com,twitter.com/taylorandhart,facebook.com/RarePinkJewellery,linkedin.com/company/rare-pink,crunchbase.com/organization/rare-pink,London,United Kingdom,Nikolay Piriankov,Nan,info@taylorandhart.com
406,Project Admission,projectadmission.com,twitter.com/PAticketing,NaN,linkedin.com/company/project-admission,crunchbase.com/organization/project-admission,Nashville,United States,Jordan Stone,Nan,info@projectadmission.com
407,theCut,thecut.co,twitter.com/thehaircutapp,facebook.com/thehaircutapp,linkedin.com/company/thecutapp,crunchbase.com/organization/thecut#section-overview,Fairfax,United States,Obi Omile Jr.,Nan,info@thecut.co
408,Satisfi Labs,satis.fi,twitter.com/satisfi,facebook.com/satisfi/,linkedin.com/company/satisfi-labs,crunchbase.com/organization/satisfi,New York,United States,Don White,Nan,info@satisfilabs.com
409,Origin,originmarkets.com,twitter.com/OriginMarkets,facebook.com/profile.php,linkedin.com/company/originmarkets,crunchbase.com/organization/origin-3#/entity,London,United Kingdom,Matt Lieber,Nan,info@origin.io
410,Credentially,drfocused.com,twitter.com/credentially_io,facebook.com/credentially/,linkedin.com/company/credentially,crunchbase.com/organization/drfocused,London,United Kingdom,N/A (Couldn't find specific information),Nan,info@credentially.io
411,Paladin,joinpaladin.com,twitter.com/joinpaladin,facebook.com/PaladinPBC,linkedin.com/company/paladin-attachments,crunchbase.com/organization/paladin-2,New York,United States,Felicity Conrad,Nan,info@joinpaladin.com
412,VanHack,vanhack.com,twitter.com/GoVanHack,facebook.com/govanhack/,linkedin.com/company/vanhack,crunchbase.com/organization/vanhack,Vancouver,Canada,Ilya Brotzky,Nan,info@vanhack.com
413,Max Retail,maxretail.com,twitter.com/swapretail,facebook.com/joinmaxretail,linkedin.com/company/joinmaxretail,crunchbase.com/organization/swapretail,North Palm Beach,United States,Suman Nambiar,Nan,info@maxretail.ai
414,Sensei,sensei.tech,twitter.com/sensei_tech,facebook.com/senseiretail/,linkedin.com/company/sensei-tech,crunchbase.com/organization/sensei-3#/entity,Lisbon,Portugal,Elliott Grant,Nan,info@sensei.tech
415,Case Status,casestatus.com,twitter.com/thecase_status,facebook.com/thecasestatus/,linkedin.com/company/case-status,crunchbase.com/organization/case-status,Birmingham,United States,Lauren Sturdivant,Nan,info@casestatus.com
416,AID:Tech,aid.technology,twitter.com/aidtechnology,facebook.com/aidtechnologysolutions/,linkedin.com/company/aid-tech,crunchbase.com/organization/aid-tech,Dublin,Ireland,Joseph Thompson,Nan,info@aid.technology
417,OnFrontiers,onfrontiers.com,twitter.com/Onfrontiers,facebook.com/onfrontiers,linkedin.com/company/onfrontiers,crunchbase.com/organization/onfrontiers--llc#section-overview,New York,United States,Daniel Roda,Nan,info@onfrontiers.com
418,Repeat,getrepeat.io,twitter.com/getrepeatio,facebook.com/pg/getrepeat,linkedin.com/company/getrepeat,crunchbase.com/organization/getrepeat,Los Angeles,United States,Kim Kaplan,Nan,info@repeatapp.com
419,Line Financial,useline.com,twitter.com/linefinancial,facebook.com/lineappofficial,linkedin.com/company/lineappofficial,crunchbase.com/organization/line-882b,San Francisco,United States,N/A (Couldn't find specific information),Nan,info@linefinancial.com
420,Ganaz,ganazapp.com,twitter.com/GanazLabor,facebook.com/ganazgorge/,linkedin.com/in/hannah-freeman-661881b,crunchbase.com/organization/ganaz-inc,Seattle,United States,N/A (Couldn't find specific information),Nan,info@ganaz.com
421,CarePort Health,careporthealth.com,twitter.com/careporthealth,facebook.com/Careporthealth,linkedin.com/company/careport-health,crunchbase.com/organization/careport-health,Boston,United States,N/A (Couldn't find specific information),Nan,info@careporthealth.com
422,Streamroot,streamroot.io,twitter.com/StreamRoot,facebook.com/StreamRoot,linkedin.com/company/streamroot,crunchbase.com/organization/streamroot,New York,United States,Pierre-Louis Théron,Nan,info@streamroot.io
423,Downstream,downstreamimpact.com,twitter.com/Downstream_Inc,facebook.com/downstreaminc/,linkedin.com/company/downstream,crunchbase.com/organization/downstream-5199,Seattle,United States,N/A (Couldn't find specific information),Nan,info@downstreamimpact.com
424,TradeLanes,tradelanes.co,twitter.com/tradelanesinc,facebook.com/tradelanes/,linkedin.com/company/tradelanes,crunchbase.com/organization/tradelanes#section-overview,San Francisco,United States,N/A (Couldn't find specific information),Nan,info@tradelanes.co
425,linq,getlinq.com,twitter.com/WecoverPlatform,NaN,linkedin.com/company/wecoverplatforms,crunchbase.com/organization/wecover-8578,Cambridge,United States,Michael Beavers,Nan,info@linqapp.com
426,Stepsize,stepsize.com,twitter.com/StepsizeHQ,facebook.com/stepsizeHQ/,linkedin.com/company/stepsize,crunchbase.com/organization/stepsize,London,United Kingdom,N/A (Couldn't find specific information),Nan,info@stepsize.com
427,voiceitt Ltd,voiceitt.com,twitter.com/Voice_Itt,facebook.com/VoiceItt/,linkedin.com/company/voiceitt,crunchbase.com/organization/voiceitt#section-overview,Ramat Gan,Israel,Danny Weissberg,Nan,info@voiceitt.com
428,Prediko,prediko.io,twitter.com/goprediko,NaN,linkedin.com/company/prediko,crunchbase.com/organization/prediko,London,United Kingdom,N/A (Couldn't find specific information),Nan,info@prediko.com
429,Mosaic Manufacturing,mosaicmanufacturing.com,twitter.com/mosaicmfg,facebook.com/MosaicMfg/,linkedin.com/company/mosaicmfg,crunchbase.com/organization/mosaic-manufacturing,Toronto,Canada,N/A (Couldn't find specific information),Nan,info@mosaicmfg.com
430,Mila,mila-learn.com,twitter.com/ask_mila,facebook.com/usemila,linkedin.com/company/bmotionmusic,crunchbase.com/organization/mila-79ab,Paris,France,Chris Zhang,Nan,info@mila.com
431,i-Brain Tech,i-brain.tech,NaN,NaN,linkedin.com/company/i-braintech,crunchbase.com/organization/i-brain-aa5b,Ramat Gan,Israel,N/A (Couldn't find specific information),Nan,info@i-braintech.com
432,Coconut,getcoconut.com,twitter.com/getcoconut,facebook.com/getcoconut/,linkedin.com/company/getcoconut,crunchbase.com/organization/coconut,London,United Kingdom,Sam O'Connor,Nan,info@getcoconut.com
433,hampr,tryhampr.com,NaN,facebook.com/tryhampr,linkedin.com/company/try-hampr,crunchbase.com/organization/hampr,Lafayette,United States,Joe Cigelski,Nan,info@hampr.com
434,TypingDNA,typingdna.com,twitter.com/typingdna,facebook.com/typingdna,linkedin.com/company/typingdna,crunchbase.com/organization/typingdna,New York,United States,Raul Popa,Nan,info@typingdna.com
435,MealMe,mealme.ai,twitter.com/mealmeai,facebook.com/mealmeapp/,linkedin.com/company/mealme,crunchbase.com/organization/mealme,Scottdale,United States,Stephen Borstelmann,Nan,info@mealme.ai
436,Castor,3dcastor.com,twitter.com/Castor86786352,facebook.com/3DCastor/,linkedin.com/company/ciwit-b-v-,crunchbase.com/organization/castor,Tel Aviv,Israel,Derk Arts,Nan,info@castor.works
437,Yaspa,yaspa.com,twitter.com/thiscitizenis,facebook.com/pluscitizen,linkedin.com/company/yaspa,crunchbase.com/organization/citizen,London,United Kingdom,NaN,Nan,info@yaspa.com
438,EdSights,edsights.io,twitter.com/EdSights_,facebook.com/pg/EdSights,linkedin.com/company/edsights,crunchbase.com/organization/edsights,New York,United States,Matthew Beith,N/A,NaN
439,Balance,balance.ca,twitter.com/balance_canada,facebook.com/balancenowca/,linkedin.com/company/balancecanada,crunchbase.com/organization/balance-632d,Toronto,United States,Aron Shapiro,N/A,NaN
440,CyberOwl,cyberowl.io,twitter.com/CyberOwl,facebook.com/Cyberowl-165051467503170/,linkedin.com/company/cyberowl,crunchbase.com/organization/cyberowl,London,United Kingdom,Eric Zimmerman,N/A,NaN
441,echo3D,echo3d.co,twitter.com/_echoAR_,facebook.com/echo3DInc/,linkedin.com/company/echo3D,crunchbase.com/organization/echo3d,New York,United States,Alon Grinshpoon,Ofer Shapira,info@echo3D.com
442,Botanisol Analytics,botanisolanalytics.com,NaN,NaN,linkedin.com/company/botanisol-analytics,crunchbase.com/organization/botanisol-analytics,Phoenix,United States,Dr. Robert Berenstein,Ben D'Amelio,NaN
443,Forwardlane,forwardlane.com,twitter.com/Forward_lane,facebook.com/forwardlane/,linkedin.com/company/10452735,crunchbase.com/organization/forwardlane,New York,United States,Christelle Faure,Julien Faures,info@forwardlane.com
444,Keepe,keepe.com,twitter.com/KeepeApp,facebook.com/keepeapp,linkedin.com/company/keepe,crunchbase.com/organization/keepe,Seattle,United States,David Basulto,N/A,No official contact email found.
445,VICI Sports,playvici.com,twitter.com/playvici,facebook.com/playvici/,linkedin.com/company/fanfest,crunchbase.com/organization/vici-b9f6,New York,United States,Anthony Proscino,N/A,No official contact email found.
446,Finli,finliapp.com,twitter.com/iamfinli,facebook.com/joinfinli,linkedin.com/company/iamfinli,crunchbase.com/organization/finli,San Marino,United States,Debojit Roy,N/A,info@finli.com
447,TrojAI,troj.ai,twitter.com/TrojAISec,facebook.com/TrojAI/,linkedin.com/company/trojai,crunchbase.com/organization/trojai,Saint John,Canada,Daniel Bjorke,N/A,info@trojai.com
448,Crux OCM,cruxocm.com,twitter.com/CruxOcm,facebook.com/CruxOcm/,linkedin.com/company/crux-ocm,crunchbase.com/organization/crux-operations-control-management,Calgary,Canada,Andrew Young,N/A,info@cruxocm.com
449,Medzoomer,medzoomer.com,NaN,facebook.com/medzoomer/,linkedin.com/company/medzoomer,crunchbase.com/organization/medzoomer,Tampa,United States,Arman Sistani,N/A,No official contact email found.
450,Vanilla Forums,vanillaforums.com,twitter.com/vanilla,facebook.com/vanillaforums,linkedin.com/company/vanilla-forums-inc,crunchbase.com/organization/vanilla-forums,MontrÃ©al,Canada,Marc Andreessen,N/A,info@vanillaforums.com
451,CleverPet,clever.pet,twitter.com/getcleverpet,facebook.com/GetCleverPet,linkedin.com/company/cleverpet,crunchbase.com/organization/cleverpet,La Jolla,United States,Leo Ganzon,N/A,info@getcleverpet.com
452,Halp,halp.com,twitter.com/Halp,facebook.com/wecanhalp/,linkedin.com/company/gethalp,crunchbase.com/organization/halp,Boulder,United States,Gabriel Rene,N/A,info@halp.com
453,SkenarioLabs,skenariolabs.com,twitter.com/skenarios,facebook.com/SkenarioLabs/,linkedin.com/company/skenariolabs,crunchbase.com/organization/skenariolabs,Espoo,Finland,Thomas Pedersen,N/A,skenariolabs.com/contact-us
454,Seed&Spark,seedandspark.com,twitter.com/seedandspark,facebook.com/seedandspark,linkedin.com/company/seed&spark,crunchbase.com/organization/seed-spark,Los Angeles,United States,Emily Best,N/A,NaN
455,Datarade,datarade.ai,twitter.com/DataradeHQ,facebook.com/datarade/,linkedin.com/company/datarade,crunchbase.com/organization/datarade,Berlin,Germany,Dan Faggel,N/A,datarade.ai/contact-us
456,Alyne,alyne.com,twitter.com/alyne,facebook.com/AlyneDotCom,linkedin.com/company/alyne,crunchbase.com/organization/alyne,Munich,Germany,Emilie Dejonghe,N/A,www.alyne.com/contact-us
457,Inthegame,inthegame.io,twitter.com/inthegameapp,facebook.com/inthegame.io/,linkedin.com/company/inthegame-io,crunchbase.com/organization/inthegame,Tel Aviv,Israel,David Hodgson,N/A,inthegame.io/contact-us
458,NarrativeDx,narrativedx.com,twitter.com/narrativedx,facebook.com/NarrativeDx,linkedin.com/company/narrativedx,crunchbase.com/organization/narrativedx,Austin,United States,Dr. Alireza Sadreddini,N/A,NaN
459,TRIDITIVE,triditive.com,twitter.com/triditive,facebook.com/triditive,linkedin.com/company/triditive-aam,crunchbase.com/organization/triditive#section-overview,Meres Siero,Spain,Renaud de Calan,Stephane Aubrée,NaN
460,Vartega,vartega.com,twitter.com/VartegaCFR,facebook.com/Vartega,linkedin.com/company/vartega,crunchbase.com/organization/vartega-carbon-fiber-recycling-llc,Golden,United States,Alex Shull,N/A,NaN
461,PairTree,pairtreefamily.com,twitter.com/pairtreefamily,facebook.com/PairTreeFamily,linkedin.com/company/pairtree,crunchbase.com/organization/pairtree-c9df,Bainbridge Island,United States,Kevin Guo,N/A,pairtreefamily.com/contact-us
462,Spark Change,sparkchange.io,twitter.com/sparkchangeuk,facebook.com/Spark-124957294064/,linkedin.com/company/sparkchange,crunchbase.com/organization/spark-43fa,Seattle,United States,Will Constantine,N/A,sparkchange.io/contact-us
463,Scout,scout.space,twitter.com/SCOUTdotspace,facebook.com/SCOUTdotspace,linkedin.com/company/scoutdotspace,crunchbase.com/organization/scoutspace,Alexandria,United States,Daniel Gruneberg,N/A,www.scoutforpets.com/contact-us
464,PitchMe,pitchme.co,twitter.com/pitchme_co,facebook.com/hrofthefuture/,linkedin.com/company/pitch_me,crunchbase.com/organization/pitchme,London,United Kingdom,Brian Longwill,N/A,NaN
465,ThinkNear,thinknear.com,twitter.com/thinknear,facebook.com/ThinknearHQ/,linkedin.com/company/thinknear,crunchbase.com/organization/thinknear,Culver City,United States,Brian Meehan,N/A,www.thinknear.com/contact-us
466,Stasis Labs,stasislabs.com,twitter.com/stasislabs,facebook.com/stasislabs,linkedin.com/company/stasis-labs,crunchbase.com/organization/stasis-labs,Los Angeles,United States,Christopher Benett,N/A,NaN
467,Sheeva,sheeva.ai,twitter.com/parkofon,facebook.com/sheevaAI,linkedin.com/company/sheevaai,crunchbase.com/organization/parkofon,Alexandria,United States,Jessica O. Matthews,N/A,www.sheeva.ai/contact-us
468,Phood Solutions,phoodsolutions.com,twitter.com/phoodsolutions,facebook.com/phoodsolutions,linkedin.com/company/phoodsolutions,crunchbase.com/organization/phood#section-overview,Boston,United States,Kevin Fink,N/A,NaN
469,Open Bionics,openbionics.com,twitter.com/openbionics,facebook.com/openbionicsltd,linkedin.com/company/openbionics,crunchbase.com/organization/https:,Bristol,United Kingdom,Samantha Payne,N/A,NaN
470,Cognitive Space,cognitivespace.com,twitter.com/cognitive_space,NaN,linkedin.com/company/cognitivespace,crunchbase.com/organization/cognitive-space,Houston,United States,Sid Bhatia,N/A,cognitivespace.com/contact-us
471,Lightstream,infiniscene.com,twitter.com/lightstream,facebook.com/GoLightstream/,linkedin.com/company/lightstream-communications,crunchbase.com/organization/infiniscene,Chicago,United States,Brandon Dewit,N/A,3www.golightstream.com/contact-us
472,Kriptos,kriptos.io,twitter.com/KriptosCorp,facebook.com/pg/kriptos.io/,linkedin.com/company/kriptos,crunchbase.com/organization/kriptos,Tiburon,United States,Christopher Heymann,N/A,kriptos.ai/contact-us
473,PlayerData,playerdata.co.uk,twitter.com/playerdatauk,facebook.com/playerdatauk,linkedin.com/company/playerdata,crunchbase.com/organization/playerdata,Edinburgh,United Kingdom,Eran Egozy,N/A,playerdata.co/contact-us
474,Memgraph,memgraph.io,twitter.com/memgraphdb,facebook.com/memgraph/,linkedin.com/company/memgraph,crunchbase.com/organization/memgraph,London,United Kingdom,Emil Eifrém,Milos Doki?,memgraph.com/contact-us
475,Shyft,myshyft.com,twitter.com/shyft,facebook.com/shyft/,linkedin.com/company/shyftapp,crunchbase.com/organization/coffee-mobile,Seattle,United States,Thomas J. Sullivan III,N/A,www.shyft.network/contact-us
476,The Folklore,thefolklore.com,twitter.com/TheFolklore,facebook.com/TheFolklore,linkedin.com/company/the-folklore,crunchbase.com/organization/the-folklore,New York City,United States,Alex Godfrey,N/A,www.thefolklore.com/contact-us
